"code","aliases","name","description","timezone","country","useAliases","excludeFromSearch","latitude","longitude","m2iorigin"
"MGM","","Montgomery, AL","","CST","USA",0,0,32.3006,-86.394,0
"MHH","","Marsh Harbour","","EST","The Bahamas",0,0,0,0,0
"MHT","","Manchester, NH","","EST","USA",0,0,42.9328,-71.4357,0
"MIA","","Miami, FL","","EST","us",0,0,25.7954,-80.2901,1
"MKE","","Milwaukee, WI","","CST","",0,0,42.9472,-87.8967,0
"MLI","","Moline, IL","","CST","USA",0,0,41.448,-90.5093,0
"MOB","","Mobile, AL","","CST","",0,0,30.6914,-88.2428,0
"MPV","","Montpelier, VT","","EST","USA",0,0,44.2035,-72.5621,0
"MSN","","Madison Dane County, WI","","CST","USA",0,0,0,0,0
"MSO","","Missoula, MT","","MST","",0,0,46.9163,-114.091,0
"MSP","","Minneapolis, MN","","CST","",0,0,44.882,-93.2218,1
"MSY","","New Orleans, LA","","CST","",0,0,29.9934,-90.258,0
"MTY","","Monterrey","","CST","Mexico",0,0,0,0,0
"MYR","","Myrtle Beach, SC","","EST","USA",0,0,33.6797,-78.9283,0
"MZT","","Mazatlan","","MST","",0,0,0,0,0
"NAS","","Nassau","","EST","",0,0,0,0,0
"NCL","","Newcastle Airport, GB","","UCT","United Kingdom",0,0,0,0,0
"NEV","","Nevis","","GMT-04:00","",0,0,0,0,0
"NWI","","Norwich, GB","","UCT","United Kingdom",0,0,0,0,0
"NYC","","New York City - All Airports","","EST","USA",0,0,0,0,1
"OAK","","Oakland, CA","","PST","USA",0,0,37.7213,-122.221,0
"OKC","","Oklahoma City, OK","","CST","",0,0,35.3931,-97.6008,0
"OMA","","Omaha, NE","","CST","",0,0,41.3032,-95.8941,0
"ONT","","LA/Ontario, CA","","PST","USA",0,0,34.056,-117.601,0
"ORD","","Chicago O'Hare","","CST","USA",0,0,41.9816,-87.9067,1
"ORF","","Norfolk, VA","","EST","USA",0,0,36.8946,-76.2012,0
"PAP","","Port-Au-Prince","","GMT","Haiti",0,0,0,0,0
"PBI","","West Palm Beach, FL","","EST","USA",0,0,26.6832,-80.0956,0
"PDX","","Portland, OR","","PST","USA",0,0,45.5887,-122.597,0
"PHF","","Newport News, VA","","EST","USA",0,0,37.1319,-76.493,0
"PHL","","Philadelphia, PA","","EST","US",0,0,39.8722,-75.2409,1
"PHX","","Phoenix, AZ","","MST","USA",0,0,33.4343,-112.012,0
"PIE","","St. Petersburg, FL","","EST","USA",0,0,27.91,-82.6874,0
"PIK","","Prestwick, GB","","UCT","United Kingdom",0,0,0,0,0
"PIR","","Pierre, SD","","CST","USA",0,0,44.3827,-100.286,0
"PIT","","Pittsburgh, PA","","EST","",0,0,40.4915,-80.2329,1
"PLS","","Providenciales Island","","EST","",0,0,0,0,0
"PMV","","Margarita Island","","GMT","Venezuela",0,0,0,0,0
